CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,1976,1993,2002,2011,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
16,32,Erongarcuaro,16032,24112.4632429953,12638.089,12193.38,12145.909,11627.703,12391.6544121,0.5241309804,0.5056878626,0.5037191297,0.4822279202,0.5139107642
16,65,Paracho,16065,24182.8681128126,11978.06,10770.437,10517.154,10546.968,10393.6756888,0.4953118027,0.4453746739,0.4349010196,0.4361338759,0.4297949954
16,56,Nahuatzen,16056,30199.9787421362,13247.687,14280.77,14399.469,14623.884,14703.1310059,0.4386654412,0.4728735117,0.4768039449,0.4842349104,0.4868589853
16,73,Quiroga,16073,21049.7739836793,10408.142,10451.526,10372.6,9999.277,9813.76682318,0.4944538601,0.4965148798,0.4927653859,0.4750301361,0.4662172065
16,41,Irimbo,16041,12638.4308364113,2583.68,2211.975,2723.247,2683.215,2682.30092797,0.2044304418,0.1750197496,0.2154735058,0.212306024,0.2122336992
16,22,Charo,16022,32092.8599048093,20801.334,19932.902,20235.493,20006.546,19987.4037239,0.6481608078,0.6211008324,0.6305294405,0.6233955484,0.6227990831
16,24,Chern,16024,22243.6560996635,13205.524,13468.871,13793.569,14262.228,14381.8361583,0.593675965,0.6055151608,0.6201124913,0.6411818244,0.6465590051
16,75,Los Reyes,16075,47882.4030521486,27152.092,25354.711,23401.66,23401.66,23373.2576266,0.567057839,0.5295204372,0.4887319455,0.4887319455,0.4881387762
16,21,Charapan,16021,23073.0932357086,13326.697,11460.721,10717.631,10717.631,9708.74308139,0.5775860594,0.4967136778,0.4645077663,0.4645077663,0.4207820331
16,80,Senguio,16080,25079.0839233204,12456.647,11691.167,12031.755,11881.6,11814.8081995,0.4966946575,0.4661720115,0.4797525714,0.4737653112,0.471102064
16,72,Querndaro,16072,23156.1311661751,16051.734,16451.467,16692.977,15682.601,15865.2619799,0.6931958489,0.7104583612,0.7208879964,0.6772548008,0.6851430347
16,95,Tocumbo,16095,50309.5340672067,36161.585,35807.065,33126.249,31516.398,31510.5011255,0.71878195,0.7117351743,0.6584487337,0.6264498089,0.626332597
16,53,Morelia,16053,118361.728,54249.209,51094.268,51819.04,48799.776,46233.814867,0.4583340402,0.431678963,0.4378023275,0.4122935414,0.3906145648
16,93,Tlalpujahua,16093,19537.3705742617,7674.609,8058.648,8655.749,8448.968,8477.34727083,0.3928168824,0.4124735194,0.4430355133,0.4324516428,0.4339042062
16,34,Hidalgo,16034,113593.777,83461.759,82072.284,87546.646,82155.349,82224.81708,0.7347388317,0.7225068676,0.7706993139,0.7232381137,0.7238496619
